time,low,high,open,close,volume,difficulty,sentiment_medio,google_trend,greed_and_fear
2022-09-26,18681.02,19320.86,18806.3,19228.0,33108.05445715,32045359565303.0,0.1147740767175033,27.0,21
2022-09-25,18619.88,19184.3,18920.93,18808.61,14499.16320537,32045359565303.0,0.0790704685353377,22.0,24
2022-09-24,18808.13,19311.4,19286.03,18923.2,17644.76169841,32045359565303.0,0.0838775853775853,24.0,24
2022-09-23,18529.0,19500.0,19399.93,19286.01,30781.38249694,32045359565303.0,0.1648773994467011,28.0,20
2022-09-22,18358.63,19521.8,18462.66,19401.25,41006.95212665,32045359565303.0,0.0709717905551239,28.0,22
2022-09-21,18153.13,19949.97,18876.14,18462.64,44344.46282424,32045359565303.0,0.0906155349711249,30.0,23
2022-09-20,18722.0,19638.46,19538.31,18876.91,27437.23361358,32045359565303.0,0.0458566404899049,28.0,23
2022-09-19,18255.0,19689.62,19417.56,19540.38,30961.4463315,32045359565303.0,0.0275036270935348,31.0,21
2022-09-18,19335.57,20119.08,20113.37,19417.64,16437.90668757,32045359565303.0,0.0975719457214807,22.0,27
2022-09-17,19748.89,20183.14,19800.26,20113.37,11557.14724341,32045359565303.0,0.0800631210572574,23.0,22
2022-09-16,19305.0,19890.95,19703.65,19801.04,24863.81492556,32045359565303.0,0.0659810229802301,26.0,20
2022-09-15,19500.0,20336.42,20227.7,19703.67,21124.30384367,32045359565303.0,0.0650740916421017,27.0,28
2022-09-14,19625.0,20545.0,20174.78,20227.77,25139.52734416,32045359565303.0,0.109753035881644,28.0,27
2022-09-13,19855.0,22800.0,22402.58,20174.78,37351.56014939,31125211237044.062,0.0554786827971475,28.0,34
2022-09-12,21555.0,22490.05,21830.16,22402.71,28404.49469955,30977051760460.0,0.0666415945165944,27.0,25
2022-09-11,21356.37,21865.66,21656.03,21831.72,14386.63340528,30977051760460.0,0.0839036195286194,23.0,26
2022-09-10,21127.1,21815.15,21366.61,21651.52,17750.76003376,30977051760460.0,0.0815645767142441,24.0,28
2022-09-09,19294.49,21616.21,19322.56,21364.5,39579.81208118,30977051760460.0,0.066262562644824,29.0,22
2022-09-08,19014.43,19460.7,19293.03,19321.87,20327.61614165,30977051760460.0,0.0253652868458196,25.0,20
2022-09-07,18527.0,19466.09,18790.77,19293.52,25583.39915964,30977051760460.0,0.0609361479019217,29.0,24
2022-09-06,18663.25,20179.86,19794.59,18790.91,34029.11126955,30977051760460.0,0.0521870013941895,27.0,22
2022-09-05,19633.11,20060.0,20003.85,19794.58,13935.11385555,30977051760460.0,0.0427280349822191,24.0,23
2022-09-04,19588.27,20026.2,19833.59,20004.73,10670.60766559,30977051760460.0,0.0637099638413544,22.0,20
2022-09-03,19655.0,20053.9,19953.4,19835.47,9538.49811675,30977051760460.0,0.0453836397428169,21.0,21
2022-09-02,19755.0,20444.0,20132.67,19953.74,19929.54590305,30977051760460.0,0.0404617477293947,24.0,25
2022-09-01,19561.01,20205.53,20048.27,20133.65,23858.64862602,30977051760460.0,0.0669852822632137,26.0,20
2022-08-31,19799.97,20489.0,19813.97,20048.26,36587.60323535,30293716756044.19,0.0802411771402549,26.0,23
